Initial Position (R),Initial Angle (Phi),Birth Time (t_birth),First Visible (t1),Last Visible (t2),Period at present (P)
2096.948393706583,5.723764812884211,-6719.44848780593,-6719.44848780593,1334.5416002643824,41899.64176811034
5635.865276129331,4.923723156462221,-6421.758051918972,-6421.758051918972,4264.418614844813,57071.05559850255
1341.08723416452,0.7998577968692938,-6012.794810995347,-6012.794810995347,3960.674721987245,51258.868254898494
436.40230649572646,2.697586734046411,-3614.317356379044,-3614.317356379044,75349.74144428206,158888.05310547445
4205.668229771263,3.038274567548638,-4603.720593178271,-4603.720593178271,57948.34675851067,143676.14049859767
3179.951107277747,3.360467041597325,-3938.948888137538,-3938.948888137538,41910.05696912843,151490.17213061833
12722.614897552194,1.4138842965824825,-1722.695559876992,-1722.695559876992,1409.9243574044183,63334.439218554384
761.3274082844806,4.05949865652795,-3513.847890511953,-3513.847890511953,23733.493005179796,108056.7153236757
1417.1147297265682,4.143015062085822,-51.92324447635399,-51.92324447635399,643.5115588288685,26014.001016962076
3095.9289174295104,4.756436360162641,-3893.418255969572,-3893.418255969572,3684.9788461264543,70702.94276857021
6901.787882534572,1.6794299882705357,-4064.5093136843334,-4064.5093136843334,2918.5205756813366,57531.30552123485
6382.964200059872,5.417885194450264,-1619.254115778015,-1619.254115778015,2234.549408285008,42945.46934622255
7832.848968347129,4.243162653927962,-889.5454694104743,-889.5454694104743,8994.256188193502,96020.42387769172
6490.783928620674,3.7878900778226483,-2962.7463244110695,-2962.7463244110695,7228.178378112187,68801.42179891645
3595.105582851495,4.121365621017281,-2161.020800161976,-2161.020800161976,7873.638787380229,52765.21138118692
5367.252360951753,3.8169103443262546,-3475.5124708512994,-3475.5124708512994,2440.1403296302897,49752.03360644033
3310.859050085156,4.524262287921227,-129.60707515534352,-129.60707515534352,112.4504088362944,27593.364712244587
3038.1226233840903,5.210898381034241,-815.1490094986136,-815.1490094986136,2725.06138534643,53338.95819555445
9714.536723029285,3.621998337125169,-1483.4514115888408,-1483.4514115888408,141.2899205935089,12661.150507982531
6976.606257078982,4.038049295714804,-2504.327896767008,-2504.327896767008,23874.463474592474,145475.76640322155
12458.434372827265,1.8832201873723606,-457.9609857295852,-457.9609857295852,29278.2866239123,168910.67290414235
6502.740936784139,1.1488110225408075,-1916.1098539960542,-1916.1098539960542,87954.05844023814,175065.52646104354
1076.0953960154059,4.281389342857164,-7617.917206950091,-6630.683579155075,6869.302101500847,108862.08164197646
8800.9757782917,6.068063390546092,-3627.148476225891,-3627.148476225891,11659.347982545318,68227.34197107136
17331.323236097436,1.901087160745118,-5160.623204585923,-5160.623204585923,5761.8617333570255,86763.68063461829
5762.541516525038,4.708516955254034,-2162.580821559159,-2162.580821559159,13661.805975915933,81510.52374462926
7313.131671918594,1.098713433619274,-1272.0738537944799,-1272.0738537944799,4003.8603701908833,125714.54307202582
3962.02847749933,4.900984331195195,-2157.4479321562444,-2157.4479321562444,875.3145656272113,25726.059173509082
672.100475002997,3.9322105118248687,-9971.452455383562,-9971.452455383562,7675.138187950593,95370.30293227007
6204.33463738666,3.409699271763698,-9710.438417841373,-7913.189270261102,6547.202094208422,93339.63562577352
3259.6552438989265,2.3024190332049845,-702.7775481645226,-702.7775481645226,3296.7570817062788,46942.428964666324
3167.956347428814,1.5593802590174441,-7953.685480363636,-3197.898080418996,3821.2146050270076,106052.62797713222
2909.436175353445,0.8455467320737795,-813.3620595635994,-813.3620595635994,2618.555446378089,35732.03066082681
3306.422014842305,4.533641203472627,-5552.421840144591,-5552.421840144591,2642.7023672070745,61434.79090497658
14700.441087006218,3.377605166971129,-1852.7535198889245,-1852.7535198889245,161200.16125671286,196909.31673829068
1046.505327568482,0.912764050180599,-4391.302087027521,-4391.302087027521,99037.91183092924,168767.6643347404
4729.356739609778,2.6916538691545013,-5640.381214233296,-5640.381214233296,8555.239814699085,79178.75677134754
1668.1977557720065,0.7755354198668473,-2899.767050075629,-2899.767050075629,4909.3841133108635,59153.857247494045
1570.2970934751547,5.328083793604497,-9731.137736709903,-5976.491403730092,52959.59595692609,185726.34472669137
1065.760622311616,4.455004839180076,-2222.367912405009,-2222.367912405009,13484.20711359766,94997.92916179264
6915.626924948286,0.9358031120289888,-4392.6417237428095,-4392.6417237428095,5139.924468905257,94259.0318608172
4142.003637276111,5.843391550021136,-9211.062558180012,-9211.062558180012,132672.45449562804,182318.15555555368
6426.791216058257,5.091631977430287,-8861.159030356133,-8861.159030356133,3719.7637131694864,64738.981972478025
3860.207785795022,5.949053662398711,-1656.074069367296,-1656.074069367296,499.0339845464068,26105.28114456744
6318.381348805189,3.4172857951721185,-9.430139617913058,-9.430139617913058,7.793045442987674,6786.764113305875
688.0438850477925,1.2630781320804436,-9850.902489227223,-9850.902489227223,9928.580041108018,74867.78129298428
9699.868353178803,4.956484786577491,-4852.604213546405,-4852.604213546405,27415.04913200349,123809.91566432477
4419.523322868557,5.502751980193362,-7584.716150181967,-7584.716150181967,8666.211637371955,63899.02210845017
11905.567800751574,3.793542964368262,-1782.1461160327046,-1668.0603912631275,2331.945672688931,107074.39975979202
