Semi-major (a),Ecc (e),Mass1 (m1),Mass2 (m2),Kick VelocityX (Vx),Kick VelocityY (Vy),Kick VelocityZ (Vz)
11.24,0.5797,2.599,1.5059,-4.5037,21.5619,-51.7986
18.75,0.8946,1.6649,1.4569,-54.8196,-95.1415,21.3898
11.92,0.6509,2.5243,1.4409,52.6587,-56.2146,5.3745
11.47,0.4919,2.315,1.4335,6.6834,24.5031,21.7755
10.62,0.7262,2.5813,1.7048,-112.3062,-53.2443,-119.5623
5.2010000000000005,0.1273,2.4468,1.4447,-13.0624,37.2348,52.9024
4.056,0.4217,2.0678,1.3807,-13.5748,-4.864,31.731
13.27,0.8317,2.0074,1.3783,48.6633,20.2275,31.6616
4.422,0.5508,1.6054,1.319,-46.5407,35.5398,63.4127
14.16,0.817,2.3661,1.3224,-11.8886,-12.4054,45.0125
10.08,0.5481,2.6167,1.4468,-104.4887,38.6553,-4.4943
15.53,0.8091,2.4264,1.8295,28.9566,72.4055,-125.7213
9.955,0.7727,2.0011,1.3787,34.2888,-1.1881,38.4988
8.87,0.3923,2.5434,1.6291,-117.3896,-96.2174,-2.8022
18.65,0.9204,1.9791,1.6017,-39.134,60.6054,-101.8696
8.177999999999999,0.411,1.5949,1.3209,-58.8139,-64.1051,9.9828
8.419,0.5414,2.5453,1.5485,26.9585,37.0519,59.909
3.387,0.3684,1.9859,1.3676,-4.2676,35.7139,27.91
2.872,0.3446,1.8219,1.382,101.6928,-36.6743,-44.6641
5.337999999999999,0.2883,2.505,1.561,24.6536,-149.4051,99.4447
3.9010000000000002,0.3403,2.5485,1.4395,-25.7923,44.3973,-37.4501
7.622999999999999,0.3683,2.4589,1.5033,-44.7927,-48.9246,13.4099
5.975,0.1571,2.5728,1.5889,87.8308,-70.3098,81.511
18.25,0.8391,2.3054,1.6328,-42.8474,-85.1189,-51.8434
6.853,0.2284,2.6282,1.7556,-94.4175,-138.6255,28.3718
93.93,0.9883,1.7055,1.492,-27.6146,3.0004,-307.0212
7.444,0.6906,2.4185,1.6211,121.2289,41.398,73.0459
11.98,0.8333,1.913,1.4198,133.487,-20.3823,-16.0785
3.5210000000000004,0.0317,2.6306,1.3765,1.3186,-12.2637,72.9104
7.001,0.291,2.7678,1.3545,-84.9642,-34.267,74.1597
4.327,0.2434,2.6317,1.6755,-26.8464,5.3989,174.6231
3.195,0.3545,1.9934,1.3745,77.6146,70.8098,7.1043
6.711,0.4969,2.5626,1.4418,10.5826,7.7577,-62.6577
1.275,0.1109,2.4235,1.3537,-12.8223,-4.8233,59.373
12.03,0.6689,2.8344,1.5891,-215.9498,91.7196,-95.4177
11.58,0.3028,2.5895,1.6862,-73.0022,-101.2411,-11.1452
7.6610000000000005,0.4434,2.6275,1.6781,-61.7732,50.4977,-116.9455
6.653,0.1309,2.3454,1.4462,5.3557,-30.0014,-54.5775
11.37,0.2294,2.744,1.7599,60.6013,42.3632,94.2275
10.94,0.7995,2.0011,1.3673,-67.979,-75.2538,151.8111
5.07,0.1239,2.3833,1.4453,20.1874,-76.3503,-22.7189
7.795,0.3481,2.5033,1.328,29.6872,23.8228,-15.7076
16.17,0.8188,2.3195,1.6838,90.2525,136.4931,15.6748
5.685,0.618,1.992,1.3767,-27.0182,38.5117,46.4591
11.24,0.6974,2.7355,1.6772,148.6844,-81.1905,-54.8333
7.9670000000000005,0.4175,1.743,1.3556,-61.2475,-88.5727,-58.9824
5.649,0.1792,2.723,1.6782,-56.3919,-175.654,-47.5478
5.972,0.4008,2.7283,1.6938,36.6,-18.7697,-170.3202
3.412,0.4436,2.3836,1.4439,-32.0931,-90.3676,-21.1473
12.08,0.758,2.4704,1.4449,-27.1483,27.0576,258.7263
3.885,0.2935,2.3839,1.3739,26.4131,-49.0546,-30.74
6.556,0.3488,2.5186,1.3854,-38.6016,-0.2801,1.9893
6.473,0.2805,2.7936,1.6788,92.0636,-120.7705,4.6925
9.861,0.696,2.6719,1.4748,-8.0468,41.5489,-16.5391
6.899,0.2006,2.3486,1.4424,-61.8979,46.8961,2.8653
10.7,0.7342,2.4989,1.4402,-33.4241,17.0398,-48.848
10.23,0.6322,2.8327,1.8555,172.7426,-22.8581,-17.8475
7.984,0.2382,2.9096,1.6809,82.5524,-41.9594,99.9717
7.975,0.6115,2.2872,1.3918,-28.3522,-8.3731,1.7658
11.59,0.2884,2.275,1.4802,70.4187,-97.6868,47.2216
6.56,0.367,1.577,1.3066,-73.6281,54.9269,-62.8512
11.47,0.6166,2.8435,1.6908,31.2507,-125.1197,73.0321
