Semi-major (a),Ecc (e),Mass1 (m1),Mass2 (m2),Kick VelocityX (Vx),Kick VelocityY (Vy),Kick VelocityZ (Vz)
6.653,0.1309,2.3454,1.4462,5.3557,-30.0014,-54.5775
14.26,0.8458,2.0417,1.5368,101.5162,11.4467,24.5934
11.37,0.2294,2.744,1.7599,60.6013,42.3632,94.2275
3.662,0.1391,2.4344,1.4412,13.5296,-72.2849,7.8733
10.94,0.7995,2.0011,1.3673,-67.979,-75.2538,151.8111
5.07,0.1239,2.3833,1.4453,20.1874,-76.3503,-22.7189
4.52,0.5182,2.8002,1.5079,-64.0696,-14.1565,58.8622
7.795,0.3481,2.5033,1.328,29.6872,23.8228,-15.7076
4.407,0.5553,2.8901,1.315,-24.9425,11.1432,41.1794
11.24,0.6974,2.7355,1.6772,148.6844,-81.1905,-54.8333
7.9670000000000005,0.4175,1.743,1.3556,-61.2475,-88.5727,-58.9824
5.972,0.4008,2.7283,1.6938,36.6,-18.7697,-170.3202
12.08,0.758,2.4704,1.4449,-27.1483,27.0576,258.7263
3.885,0.2935,2.3839,1.3739,26.4131,-49.0546,-30.74
6.556,0.3488,2.5186,1.3854,-38.6016,-0.2801,1.9893
6.473,0.2805,2.7936,1.6788,92.0636,-120.7705,4.6925
9.861,0.696,2.6719,1.4748,-8.0468,41.5489,-16.5391
6.899,0.2006,2.3486,1.4424,-61.8979,46.8961,2.8653
10.7,0.7342,2.4989,1.4402,-33.4241,17.0398,-48.848
10.23,0.6322,2.8327,1.8555,172.7426,-22.8581,-17.8475
7.984,0.2382,2.9096,1.6809,82.5524,-41.9594,99.9717
7.975,0.6115,2.2872,1.3918,-28.3522,-8.3731,1.7658
6.56,0.367,1.577,1.3066,-73.6281,54.9269,-62.8512
11.47,0.6166,2.8435,1.6908,31.2507,-125.1197,73.0321
5.452000000000001,0.3278,1.6598,1.3334,63.5202,-65.6374,42.6352
10.91,0.2859,2.9737,1.8715,-3.9402,16.4055,134.5426
5.12,0.4906,2.5724,1.4396,59.8412,28.0051,-40.9274
4.1739999999999995,0.1928,2.6196,1.3732,0.5328,25.2772,-24.2451
6.1339999999999995,0.511,2.498,1.4401,-31.1581,-34.2213,-17.8937
9.991,0.224,2.2205,1.4966,20.1592,-98.4284,-36.1467
7.632000000000001,0.3376,2.2651,1.5902,146.8679,9.6582,-88.0542
8.292,0.6061,2.5195,1.377,-69.8455,81.8585,-1.0712
3.073,0.2913,2.6996,1.4879,120.9875,85.9219,21.8044
7.172000000000001,0.4181,2.4628,1.6662,42.5172,-91.4808,-111.0818
9.61,0.7479,2.4214,1.3276,0.9633,116.1414,34.5659
4.853,0.1764,2.5025,1.5364,81.0973,-23.2808,7.2973
3.4130000000000003,0.2918,2.4311,1.4377,122.0816,1.384,62.3604
11.48,0.5642,2.3704,1.4455,-17.1371,27.9054,-5.1857
6.247000000000001,0.0615,2.6825,1.7561,-49.6251,-113.6871,93.2073
8.913,0.3855,2.7156,1.6824,-58.3083,51.4318,-131.4127
12.3,0.7848,2.7078,1.52,-89.5868,-37.7524,-41.9167
7.568,0.5103,1.6118,1.3116,-0.0241,-64.9635,78.613
8.215,0.5347,2.3606,1.4177,-26.8215,-12.9521,11.9082
8.207,0.4935,2.1229,1.4465,-5.9936,78.0704,-79.7926
11.72,0.8475,1.9904,1.376,-407.1182,23.6482,-93.5323
7.1370000000000005,0.2025,2.1986,1.4653,42.7931,-71.5299,-76.3997
5.531000000000001,0.328,2.8407,1.3122,67.2009,82.587,110.6072
5.732,0.3032,2.7202,1.6765,-125.6196,79.773,-8.8253
9.442,0.7094,2.7519,1.4787,-42.7469,8.2373,-16.4004
5.962000000000001,0.4502,2.4892,1.4414,-30.1572,2.9864,-28.3258
9.889,0.4841,2.5313,1.6763,41.6445,-82.1106,-132.5164
7.41,0.6177,1.9899,1.353,11.5588,-36.7587,-36.3857
9.879,0.8062,2.8521,1.5688,195.7977,240.9987,279.5834
6.853,0.5592,2.4753,1.304,-60.0518,56.7746,1.1481
8.211,0.5924,2.7039,1.5434,-27.6117,51.089,-28.5569
6.393,0.4717,2.7144,1.6749,-104.0165,116.381,-83.7071
10.26,0.8492,1.6669,1.3131,3.1329,44.5255,144.3343
10.16,0.0544,2.4316,1.448,29.6996,-84.7568,15.1137
15.41,0.8462,1.9882,1.4917,95.1696,-58.9254,-55.1212
8.568,0.4816,2.5984,1.703,258.2966,85.1216,-86.8665
8.011000000000001,0.7018,1.6427,1.4219,-10.9068,110.3961,38.8364
2.374,0.4615,2.5446,1.3981,-59.3623,-7.103,29.1067
10.87,0.326,2.3646,1.6415,25.7259,-64.7364,-95.9469
8.168,0.4777,2.8471,1.343,20.35,-62.9234,4.3471
11.41,0.8227,1.6647,1.3463,80.1869,546.6435,327.1473
9.469,0.4827,2.4516,1.4908,-23.3047,-57.1335,25.6032
10.63,0.3785,2.2776,1.4732,-54.2599,-67.089,-120.9815
7.54,0.2004,2.7195,1.7566,112.4871,-94.8522,3.7565
5.76,0.3707,2.475,1.4424,-92.377,-2.641,-75.4202
4.705,0.2068,1.6729,1.3309,-2.2868,79.3029,-52.0324
10.17,0.4997,2.5089,1.4459,33.274,-9.6299,-34.5589
11.65,0.5476,2.2664,1.4212,41.3912,-11.1373,40.3737
4.894,0.1365,1.592,1.5883,42.2303,-180.1983,-40.9789
