#a/Rsun e m1/Msun m2/Msun vx/kms vy/kms vz/kms
0.4623 0.1302 2.3479 1.3469 63.7899 -5.5634 -48.7070
22.35 0.1046 1.8907 1.4078 36.2942 53.0211 30.6808
2.121 0.1584 2.8305 1.4640 -64.0032 70.8884 -59.4866
3.52 0.6314 1.8024 1.3572 67.6213 -197.3564 -142.2004
1.689 0.1447 2.5868 1.4358 -120.4527 -13.7901 0.8058
20.26 0.2665 2.0186 1.4916 97.4642 -2.6867 30.3598
1.86 0.2538 2.6090 1.3099 69.7877 34.5265 39.3518
2.984 0.6119 2.7739 1.7502 3.2024 170.2859 541.8141
3.513 0.0945 2.6243 1.5196 91.9887 31.8165 43.5654
1.602 0.9820 1.8370 1.3010 222.1188 -286.2585 -8.0639
46.08 0.5665 1.9073 1.4122 -24.4265 -49.7351 34.4494
0.7521 0.3722 1.8051 1.4706 193.2823 -132.2086 -173.4147
8.386 0.7599 2.1683 1.5080 -141.8609 -29.4032 -18.5339
25.21 0.1386 2.0293 1.4893 69.7742 18.1409 -29.7652
0.07649 0.2842 1.3697 1.3696 824.3215 -160.7690 359.0525
0.7855 0.5588 2.9244 1.3031 -193.7899 -1.4105 10.1414
1.71 0.6779 2.0798 1.3747 48.5250 202.0490 -172.0648
0.764 0.2443 2.2897 1.3640 62.2785 -4.4774 39.8192
18.15 0.8906 2.0130 1.3694 -31.8723 29.0877 -97.0227
2.348 0.3466 2.8030 1.3099 59.1154 52.2041 42.6266
60.45 0.5758 2.0376 1.5027 -5.9848 -29.2281 -14.4226
0.7004 0.1818 2.2876 1.6903 120.0951 -137.7207 134.4577
36.09 0.4533 2.1270 1.6187 69.4328 123.7896 -0.2894
22.32 0.8359 2.6468 1.6725 42.6958 -33.2832 10.8917
0.1877 0.2717 2.3494 1.3041 -102.0348 77.8188 -120.6760
2.198 0.7694 2.7799 1.4194 -300.3195 -31.5834 218.2195
59.48 0.6358 2.1352 1.5877 -31.1439 47.6671 -58.9564
37.29 0.3099 2.2235 1.8312 71.9810 82.9623 17.2392
78.54 0.7801 1.7483 1.4425 -36.7023 -85.1272 -80.7707
21.39 0.5521 1.9067 1.4282 5.9900 6.5695 -97.9563
5.827 0.7597 2.6238 1.4328 61.0409 -17.9229 8.4126
6.147 0.2638 2.2907 1.4449 54.5334 -3.1546 -48.3958
24.46 0.4566 2.2230 1.5952 -27.5941 -88.1403 8.9705
204.7 0.2094 1.8307 1.6668 -40.3414 -23.0542 19.3979
3.371 0.4655 2.5644 1.4181 1.1355 -6.0437 -65.2713
950.3 0.8574 1.8721 2.0483 -9.4729 -23.7205 -21.3360
13.67 0.5769 2.4845 1.6562 76.8025 24.5162 -96.5568
1.049 0.4601 2.6639 1.4260 209.9420 -63.6494 103.7742
238.2 0.5826 1.5053 1.3316 -2.4934 58.8425 61.1465
150.8 0.4564 1.9841 1.8652 -17.6364 -64.1565 16.5498
61.01 0.8120 1.8162 1.7077 -61.1117 9.3604 -84.5535
13.57 0.2867 2.8806 1.8253 104.5078 117.5894 -34.6678
2.175 0.0462 2.7756 1.3253 -23.8990 23.6585 -10.0922
10 0.6295 2.7805 1.3843 3.0010 32.8291 25.1175
0.4443 0.2563 2.5712 1.3626 -68.3395 -26.1387 -75.6468
47.68 0.8943 2.4392 1.3022 24.4446 -57.9504 7.6731
68.03 0.4651 2.5493 1.7809 36.9156 100.4355 -73.9644
4.144 0.0745 1.6144 1.3279 -99.6696 51.7128 -22.7628
2.717 0.3541 1.7108 1.3325 -48.2038 -5.5072 55.9242
1.823 0.2639 2.4252 1.3545 137.4325 226.8625 -92.8386
4.128 0.5322 2.7319 1.4886 -9.3685 71.9302 -18.9197
5.784 0.6318 1.9829 1.3680 -25.0497 -46.4744 15.5960
142.9 0.8574 1.9094 1.6401 54.3869 -65.5427 -42.6815
12.02 0.7312 2.4940 1.4425 19.2695 33.1315 -60.7333
6.587 0.3383 2.5309 1.5120 -67.2534 6.2906 -29.8016
54.59 0.5151 2.0534 1.5697 -38.3048 32.5980 -10.6968
1.104 0.9060 2.8277 1.4629 206.2356 202.5053 -5.9246
5.962 0.2928 2.2819 1.4318 -64.4078 1.6921 -51.0549
70.54 0.6708 2.5183 1.7630 -45.2658 25.0444 33.7569
2.128 0.4704 2.4416 1.4119 -123.9358 77.5952 28.8305
397.3 0.6384 1.6871 1.4100 4.1283 49.1957 98.1753
0.7217 0.1954 1.5992 1.3051 -36.6540 110.8906 -127.2649
1.503 0.7640 2.7644 1.4471 228.8245 -83.5276 -194.3892
75.55 0.5114 2.3554 1.7746 19.3927 -79.4335 8.7503
57.94 0.6151 2.9214 2.1353 -20.2525 30.7445 -84.5747
16.3 0.7959 2.0725 1.5643 44.9667 -85.8275 -22.1729
15.59 0.3720 2.2323 1.6461 -50.7275 -28.5961 75.9940
51.51 0.8050 2.4228 1.7603 -17.9605 -59.5040 -49.8505
11.36 0.7362 2.5192 1.4982 -107.7025 192.6400 191.3924
3.815 0.2813 1.7427 1.3457 -74.7750 -22.2451 -71.2525
49.22 0.9620 1.9203 1.4190 61.8650 -47.4256 19.1598
0.04239 0.6404 1.3132 1.3114 -548.6304 387.6473 776.6362
51.01 0.7528 2.2729 1.8812 -41.5738 30.4983 93.0278
0.8139 0.0165 1.3364 1.3104 100.7975 -48.7378 191.4517
0.8266 0.1776 2.6960 1.3175 -20.0944 36.1003 28.4775
0.2033 0.1055 2.5126 1.3415 -42.2571 102.9714 -13.0441
2.501 0.4702 2.7565 1.4265 39.3110 37.5102 12.2923
0.4713 0.1118 2.5005 1.3662 127.8738 51.3722 -42.7560
54.7 0.7522 1.8040 1.6701 80.8756 40.6796 -45.1860
16.98 0.7950 2.1322 1.5675 92.4644 -83.7592 -29.0163
1.021 0.7244 1.4663 1.4558 311.3219 62.6747 -796.6270
77.31 0.5422 1.8340 1.7245 26.4876 -33.8562 65.6029
4.706 0.6113 2.1470 1.3685 -20.5190 -38.2146 3.1718
24.27 0.2723 2.2696 1.5527 127.8653 -8.3246 -8.1298
0.3087 0.2324 2.5044 1.3550 -321.6666 -147.2913 -23.7837
1.104 0.3287 2.4654 1.3539 -11.4429 -111.9253 -54.1875
0.414 0.2935 2.5654 1.3496 5.9390 33.9070 37.6460
16.68 0.7965 2.8270 1.7508 -69.6603 -109.0894 -54.7207
0.6986 0.0481 2.7048 1.3941 90.9862 44.8841 -106.7164
12.14 0.2417 2.4000 1.6871 -81.1590 43.0784 -97.2278
1.981 0.6732 2.6700 1.3176 249.6037 142.1551 -1.2496
2.639 0.2334 2.3865 1.3081 127.4431 3.0547 -75.2677
3.657 0.2436 2.3377 1.4049 -40.0835 9.4050 28.7099
239.5 0.8709 1.4491 1.4342 -57.8246 -5.1303 -17.5554
0.2157 0.0423 1.5665 1.3134 84.5109 65.3746 130.3703
35.14 0.3400 1.9308 1.4426 -45.0168 -25.0083 -24.9238
0.7447 0.1878 2.6511 1.3830 -86.0819 2.2667 20.2209
29.95 0.9676 2.0143 1.5664 -9.9137 32.8188 15.4603
412.4 0.8199 2.2408 1.7995 -44.6062 52.9523 -47.7030
19.11 0.8273 2.6860 1.5254 -30.2464 -8.5476 -96.7574
205.8 0.5617 1.8731 1.8599 38.6285 10.9590 -18.9055
